Gene_Name	Interactions
ATG101	"['RRAGB', 'RRAGD', 'RHEB', 'MLST8', 'RRAGC', 'RRAGA', 'RPTOR', 'MTOR', 'SLC38A9', 'RB1CC1', 'PRKAA1', 'PRKAB2', 'PRKAG3', 'PRKAG1', 'PRKAB1', 'PRKAA2', 'PRKAG2', 'ULK1', 'DYNLL2', 'BECN1', 'PIK3R4', 'DYNLL1', 'AMBRA1', 'ATG14', 'PIK3C3']"
ATG12	"['ATG7', 'ATG12', 'WIPI2', 'MAP1LC3A', 'MAP1LC3B']"
ATG13	"['MTOR', 'RRAGB', 'MLST8', 'RHEB', 'RRAGD', 'RPTOR', 'RRAGA', 'SLC38A9', 'RRAGC', 'ULK1', 'ATG101', 'RB1CC1', 'PRKAB1', 'PRKAA2', 'PRKAG1', 'PRKAB2', 'PRKAA1', 'PRKAG3', 'PRKAG2', 'PIK3C3', 'DYNLL2', 'ATG14', 'DYNLL1', 'AMBRA1', 'PIK3R4', 'BECN1']"
ATG14	"['DYNLL2', 'DYNLL1', 'AMBRA1', 'PIK3C3', 'PIK3R4', 'BECN1']"
ATG16L1	"['ATG12', 'ATG16L1', 'ATG5', 'WIPI2', 'ATG3']"
ATG3	['ATG7']
ATG5	"['ATG10', 'ATG12', 'ATG5', 'WIPI2', 'MAP1LC3B', 'MAP1LC3A']"
ATG7	"['ATG12', 'ATG7', 'ATG10', 'ATG3']"
ATIC	['ATIC']
ATM	"['MRE11', 'RAD50', 'KAT5', 'NBN', 'DNA2', 'RMI1', 'EXO1', 'WRN', 'BRIP1', 'BLM', 'BRCA1', 'RMI2', 'RBBP8', 'TOP3A', 'BARD1', 'ATM', 'PEX5', 'SQSTM1', 'ATRIP', 'ATR', 'MLH1', 'MLH3', 'TP53BP1', 'PAXIP1', 'CHEK2', 'HIST3H3', 'HIST2H4A', 'H2AFX', 'CDK2', 'UBE2N', 'PIAS4', 'HERC2', 'RNF8', 'UBE2V2', 'RNF168', 'SUMO1', 'NSD2', 'MDC1', 'RPA1', 'RPA3', 'RPA2', 'DYRK2', 'EYA1', 'EYA3', 'EYA2', 'MDM2', 'PIDD1', 'TP53', 'TTC5', 'ZNF420', 'ABL1', 'CCAR2', 'UBE2I', 'SUMO2', 'COP1', 'MDM4', 'RIF1']"
ATP12A	['ATP4B']
ATP1A1	"['ATP1B3', 'ATP1B2', 'ATP1B1']"
ATP1A2	"['ATP1B3', 'ATP1B2', 'ATP1B1']"
ATP1A3	"['ATP1B1', 'ATP1B3', 'ATP1B2']"
ATP1A4	"['ATP1B2', 'ATP1B1', 'ATP1B3']"
ATP1B1	['BSG']
ATP1B2	"['BSG', 'ATP1B3', 'ATP1B1']"
ATP1B3	"['BSG', 'ATP1B1']"
ATP1B4	['SNW1']
ATP4A	['ATP4B']
ATP5PO	"['ATP5S', 'ATP5PO']"
ATP5S	"['ATP5S', 'ATP5PO']"
ATP6V0A2	['ATP6V0A1']
ATP6V0A4	"['TCIRG1', 'ATP6V0A2', 'ATP6V0A1']"
