ADAM9,26,26,26,26,0,26,26,0,26
ADAMDEC1,16,16,16,16,0,16,16,0,16
ADAMTS1,26,26,26,26,0,26,26,0,26
ADAMTS10,15,15,15,15,0,15,15,0,15
ADAMTS12,16,16,16,16,0,16,16,0,16
ADAMTS13,2,2,2,2,0,2,2,0,2
ADAMTS14,13,13,13,13,0,13,13,0,13
ADAMTS15,14,14,14,14,0,14,14,0,14
ADAMTS15A,1,1,1,1,0,1,1,0,1
ADAMTS16,5,5,5,5,0,5,5,0,5
ADAMTS17,16,16,16,16,0,16,16,0,16
ADAMTS18,14,14,14,14,0,14,14,0,14
ADAMTS19,12,12,12,12,0,12,12,0,12
ADAMTS2,26,26,26,26,0,26,26,0,26
ADAMTS20,12,12,12,12,0,12,12,0,12
ADAMTS3,10,10,10,10,0,10,10,0,10
ADAMTS4,19,19,19,19,0,19,19,0,19
ADAMTS5,34,34,34,34,0,34,34,0,34
ADAMTS6,14,14,14,14,0,14,14,0,14
ADAMTS7,12,12,12,12,0,12,12,0,12
ADAMTS8,15,15,15,15,0,15,15,0,15
ADAMTS9,24,24,24,24,0,24,24,0,24
ADAMTS9-AS2,10,10,10,10,0,10,10,0,10
ADAMTSL1,21,21,21,21,0,21,21,0,21
ADAMTSL2,17,17,17,17,0,17,17,0,17
ADAMTSL3,14,14,14,14,0,14,14,0,14
ADAMTSL4,21,21,21,21,0,21,21,0,21
ADAMTSL5,5,5,5,5,0,5,5,0,5
ADAP1,18,18,18,18,0,18,18,0,18
ADAP2,21,21,21,21,0,21,21,0,21
ADAR,18,18,18,18,0,18,18,0,18
ADARB1,18,18,18,18,0,18,18,0,18
ADARB2,10,10,10,10,0,10,10,0,10
ADAT1,21,21,21,21,0,21,21,0,21
ADAT2,22,22,22,22,0,22,22,0,22
ADAT3,18,18,18,18,0,18,18,0,18
ADCK1,14,14,14,14,0,14,14,0,14
ADCK2,17,17,17,17,0,17,17,0,17
ADCK3,4,4,4,4,0,4,4,0,4
ADCK5,20,20,20,20,0,20,20,0,20
ADCY1,23,23,23,23,0,23,23,0,23
ADCY10,11,11,11,11,0,11,11,0,11
ADCY10P1,9,9,9,9,0,9,9,0,9
ADCY2,20,20,20,20,0,20,20,0,20
ADCY3,27,27,27,27,0,27,27,0,27
ADCY4,24,24,24,24,0,24,24,0,24
ADCY5,36,36,36,36,0,36,36,0,36
ADCY6,31,31,31,31,0,31,31,0,31
ADCY7,30,30,30,30,0,30,30,0,30
ADCY8,24,24,24,24,0,24,24,0,24
ADCY9,23,23,23,23,0,23,23,0,23
ADCYAP1,27,27,27,27,0,27,27,0,27
